,,,,,,,,,,,,,,,,,LATITUD,LONGITUD,DISTRITO,TIPO,
,,,,,,,,,,,,,,,,,40.4202770509557,-3.62174107870034,SAN BLAS-CANILLEJAS,/contenido/actividades/DanzaBaile,
,,,,,,,,,,,,,,,,,,,,/contenido/actividades/ConcursosCertamenes,
,,,,,,,,,,,,,,,,,40.4060959185717,-3.64653610706351,MORATALAZ,/contenido/actividades/CineActividadesAudiovisuales,
 ID-EVENTO,TITULO,PRECIO,GRATUITO,LARGA-DURACION,DIAS-SEMANA,FECHA,FECHA-FIN,HORA,DESCRIPCION,CONTENT-URL,TITULO-ACTIVIDAD,URL-ACTIVIDAD,URL-INSTALACION,NOMBRE-INSTALACION,COORDENADA-X,COORDENADA-Y,40.4190602437436,-3.6840615387927,RETIRO,/contenido/actividades/Exposiciones,AUDIENCIA
10718084,100 A�os de la Independencia de Georgia,0,1,0,,2018-06-23 00:00:00.0,2018-06-23 23:59:00.0,12:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8fe64badd26a3610VgnVCM2000001f4a900aRCRD,100 A�os de la Independencia de Georgia,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=66464badd26a3610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cce43d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Antonio Machado (San Blas - Canillejas),447255,4474591,40.3483266316202,-3.69216587279948,VILLAVERDE,/contenido/actividades/ActividadesCalleArteUrbano,
10361223,17� Certamen de Expresi�n Dram�tica de centros para personas con discapacidad,1,1,1,"L,M,X,J,V",2018-05-31 00:00:00.0,2018-06-19 23:59:00.0,11:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ded13764f5b1c510VgnVCM2000001f4a900aRCRD,17 � Certamen de Expresi�n Dram�tica de centros para personas con discapacidad,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=061433c6403db510VgnVCM1000001d4a900aRCRD,,,,,40.4015939433467,-3.74911084140656,LATINA,/contenido/actividades/CineActividadesAudiovisuales,/usuario/Discapacitados
10716939,1898 Los �ltimos de Filipinas,2,1,0,,2018-06-28 00:00:00.0,2018-06-28 23:59:00.0,18:00,"Direcci�n: Salvador Calvo.  Reparto: Luis Tosar, �lvaro de Cervantes, Javier Guti�rrez, Karra Elejalde, Carlos Hip�lito, Eduard Fern�ndez, patric, Criado, Miguel Herr�n, Ricardo G�mez, Emilio Palacios, Alexandra Masangkay, Maykol Hern�ndez, Pedro Casablanc, Ciro Mir�.   Sinopsis: a finales del siglo  XIX , en la colonia espa�ola de Filipinas, un destacamento espa�ol fue sitiado en el pueblo de Baler, en la isla filipina de Luz�n, por insurrectos filipinos revolucionarios, durante 337 d�as. En diciembre de 1898, con la firma del Tratado de Par�s entre Espa�a y Estados Unidos, se pon�a fin formalmente a la guerra entre ambos pa�ses y Espa�a ced�a la soberan�a sobre Filipinas a Estados unidos. Debido a esto, los sitiados en Baler son conocidos como 'los �ltimos de Filipinas'.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e019d6ccd95a3610VgnVCM2000001f4a900aRCRD,Cine en  Moratalaz,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=86563509065a3610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f3073d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural el Torito (Moratalaz),445141,4473033,,,,/contenido/actividades/ActividadesEscolares,
10719357,40 a�os en im�genes. Ballet Nacional de Espa�a,3,1,1,"L,M,X,J,V,S,D",2018-06-08 00:00:00.0,2018-06-24 23:59:00.0,00:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=205f403dc7ba3610VgnVCM2000001f4a900aRCRD,40 a�os en im�genes. Ballet Nacional de Espa�a,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=be6e403dc7ba3610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=35e53d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Casa de Vacas (Retiro).,441967,4474495,40.4064738928498,-3.7327010920242,LATINA,/contenido/actividades/Musica,
10715832,Abracadabra. (2017. Espa�a),4,1,0,,2018-06-22 00:00:00.0,2018-06-22 23:59:00.0,22:15,"Abracadabra , de Pablo Berger. Con Maribel Verd�, Jos� Mota, Antonio de la Torre. Espa�a 2017. 88�.  No recomendada para menores de 12 a�os. Comedia.     8 candidaturas, incluyendo mejor actriz (Maribel Verd�) y actor (De la Torre).     Un ama de casa del barrio madrile�o de Carabanchel, descubre un d�a que su marido parece estar pose�do por un esp�ritu maligno. Ah� empieza una exhaustiva investigaci�n, entre terror�fica y disparatada, para intentar recuperarlo.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6a1b244155693610VgnVCM2000001f4a900aRCRD,Cine de verano. Villaverde 2018,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=099b23eb8e193610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=04605a943957e210VgnVCM2000000c205a0aRCRD,Parque de la Amistad,441328,4466857,40.4447747490219,-3.61291058446338,SAN BLAS-CANILLEJAS,/contenido/actividades/Musica,
10721696,Actividades desde la Asociaci�n Vecinal de Lucero. Salvemos la Cu�a Verde,5,1,0,,2018-06-21 00:00:00.0,2018-06-21 23:59:00.0,17:30,"Exposici�n de fotos.  Presentaci�n del plano de la Cu�a Verde y de la Plataforma.  Proyecci�n del v�deo ?Pasado, Presente y Futuro de la Cu�a Verde?.  Mesa redonda: Charla-coloquio sobre la Cu�a Verde.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e27cb6b5fa5b3610VgnVCM2000001f4a900aRCRD,Programa de actividades en el Centro Cultural Jos� Luis Sampedro (Latina),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=044239c8e2993510VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bd3fba61e681c010VgnVCM1000000b205a0aRCRD,Centro Cultural Jos� Luis Sampedro (Latina),436432,4472601,,,,/contenido/actividades/Musica,
