DISTRITOS,RELACIONADAS CON LAS PERSONAS,RELACIONADAS CON EL PATRIMONIO,POR TENENCIA DE ARMAS,POR TENENCIA DE DROGAS,POR CONSUMO DE DROGAS
CENTRO,51,79,6,170,83
ARGANZUELA,10,15,2,26,6
RETIRO,3,8,0,11,4
SALAMANCA,7,34,1,13,3
CHAMARTÍN,7,24,1,17,2
TETUÁN,16,9,0,21,2
CHAMBERÍ,11,7,0,18,14
FUENCARRAL - EL PARDO,0,2,4,139,7
MONCLOA - ARAVACA,9,8,0,15,19
LATINA,8,10,7,79,15
CARABANCHEL,25,17,4,40,9
USERA,9,15,4,18,3
PUENTE DE VALLECAS,16,19,1,43,13
MORATALAZ,2,5,0,12,1
CIUDAD LINEAL,17,13,2,24,2
HORTALEZA,19,13,2,16,5
VILLAVERDE,16,21,0,27,6
VILLA DE VALLECAS,2,4,3,25,65
VICÁLVARO,0,1,1,13,3
SAN BLAS - CANILLEJAS,9,17,2,25,4
BARAJAS,3,12,1,2,0
SIN DISTRITO ASIGNADO,169,210,2,36,10
TOTAL,409,543,43,790,276
